Título,Autor,Nº Paginas,Editora,Idioma,Acabamento,ISBN,Documento
1808: Como uma rainha,Laurentino Gomes,384,Globo Livros,(Portugues),Capa Comum, 978-8525057518,search/static/search/pages/Amazon/Positivas/1808.html
Box - As Melhores Aventuras Do Sítio Do Picapau Amarelo,Monteiro Lobato,640,Nova Fronteira,(Portugues),Capa dura, 978-8520943519,search/static/search/pages/Amazon/Positivas/Box_-_As_Melhores_Aventuras_Do_Sitio_Do_Picapau_Amarelo_Monteiro_Lobato_Amazon.com.br.html
Cotoco O Diario De Um Garoto De 13 Anos,John Van de Ruit,390,Intrínseca,(Portugues),Capa Comum, 978-8598078854,search/static/search/pages/Amazon/Positivas/Cotoco.html
"Doctor Who: 12 Doutores, 12 historias",Alex Scarrow,480,Fantastica Rocco,(Portugues),Capa Comum, 978-8568263044,"search/static/search/pages/Amazon/Positivas/Doctor_Who,_Neil_Gaiman_e_varios_-_Livros_na_Amazon.com.br.html"
Freud (1900) A interpretacao dos sonhos: Obras completas volume 4,Sigmund Freud,736,Companhia das Letras,(Portugues),Capa dura, 978-8535932218,search/static/search/pages/Amazon/Positivas/Freud_(1900)_A_interpretacao_dos_sonhos_Obras_completas_volume_4_-_9788535932218_-_Livros_na_Amazon_Brasil.html
Good Omens: Belas Maldicoes,Neil Gaiman,364,Bertrand Brasil,(Portugues),Capa Comum, 978-8528624021,search/static/search/pages/Amazon/Positivas/Good_Omens_Belas_Maldicoes_-_Livros_na_Amazon_Brasil-_9788528624021.html
Os Mitos de Cthulhu - Volume Único (Exclusivo Amazon),Esteban Maroto,92,Pipoca e Nanquim (7 de junho de 2019),(Portugues),Capa dura, 978-8593695261,search/static/search/pages/Amazon/Positivas/Os_Mitos_de_Cthulhu_-_Volume_Único_(Exclusivo_Amazon)_Livros.html
Redes de Computadores e a Internet: Uma Abordagem Top-Down,Jim Kurose,656,Pearson Universidades,(Portugues),Capa Comum, 978-8581436777,search/static/search/pages/Amazon/Positivas/Redes_de_Computadores_e_a_Internet_Uma_Abordagem_Top-Down_-_9788581436777_-_Livros_na_Amazon_Brasil.html
Sobotta - Atlas de Anatomia Humana - 3 Volumes,Friedrich Paulsen,1168,Guanabara Koogan,(Portugues),Capa dura, 978-8527732376,search/static/search/pages/Amazon/Positivas/Sobotta_-_Atlas_de_Anatomia_Humana_-_3_Volumes_-_9788527732376_-_Livros_na_Amazon_Brasil.html
Alice No País Das Maravilhas (Classic Edition),"Carroll,Lewis",208,,Portugues,Capa dura,9788594541758,search/static/search/pages/Saraiva/Positivas/Alice_No_Pais_Das_Maravilhas_(Classic_Edition)_-_Saraiva.html
Steve Jobs - A Biografia,"Isaacson,Walter, Isaacson,Walter",624,,Portugues,Brochura,9788535919714,search/static/search/pages/Saraiva/Positivas/Steve_Jobs_-_A_Biografia_-_Saraiva.html
Vade Mecum Compacto   - Brochura  - 21a Ed. 2019,Editora Saraiva,2127,,Portugues,Brochura,9788553603244,search/static/search/pages/Saraiva/Positivas/Vade_Mecum_Compacto_-_Brochura_-_21a_Ed._2019_-_Saraiva.html
It - A Coisa,"King,Stephen",1104,,Portugues,Brochura,9788560280940,search/static/search/pages/Saraiva/Positivas/It_-_A_Coisa_-_Saraiva.html
Como Fazer Amigos e Influenciar Pessoas,,264,,Portugues,Brochura,9788504018028,search/static/search/pages/Saraiva/Positivas/Como_Fazer_Amigos_e_Influenciar_Pessoas_-_Saraiva.html
O Guia do Mochileiro Das Galaxias - Serie o Mochileiro Das Galaxias - Vol. 1,"Adams,Douglas",208,,Portugues,Brochura,9788599296578,search/static/search/pages/Saraiva/Positivas/O_Guia_do_Mochileiro_Das_Galaxias_-_Serie_o_Mochileiro_Das_Galaxias_-_Vol._1_-_Saraiva.html
"O Livrinho do Bebe - Animais, Palavras, Contrarios, Cores e Formas","Books,Yoyo",128,,Portugues,Brochura,9789463041706,"search/static/search/pages/Saraiva/Positivas/O_Livrinho_do_Bebe_-_Animais,_Palavras,_Contrarios,_Cores_e_Formas_-_Saraiva.html"
Star Wars - O Arquivo Rebelde,"Wallace,Daniel",176,,Portugues,Brochura,9788528622973,search/static/search/pages/Saraiva/Positivas/Star_Wars_-_O_Arquivo_Rebelde_-_Saraiva.html
